module_variable_name	source_text	target_text	need_translate
Common.Other.GlobalPrompt.FRESH_EVENT_MSG	当前地图中拥有当前特殊事件的下一张地图，是否确定刷新？	dans la carte actuelle，il y a la prochaine carte du cas spécial actuel，tu es sûr de renouveler？	1
Common.Other.GlobalPrompt.FULL_HERO_MSG	英雄位置已满，请先解雇多余的英雄再来领取	toutes les places des héros sont occupées．veuillez d'abord congédier des héros superflus et le recevoir de nouveau 	1
Common.Other.GlobalPrompt.FeastWheel_Tips_Head	恭喜您 获得：#H	félicitations，recevez ：#H	1
Common.Other.GlobalPrompt.FindBackTips_1	恭喜你，找回%s收益成功，本次找回:#H	félicitations，réussir à récupérer la bénéfice %s，cette récupération:#H	1
Common.Other.GlobalPrompt.FiveOne_AttickBadDragon	五一活动勇者斗恶龙	l'activité de la Fête des Travailleurs guerriers combattent le dragon méchant	1
Common.Other.GlobalPrompt.FiveOne_AttickBadDragon_Content	勇者斗恶龙未拾取物品	on ne ramasse pas l'objet pendant l'activité “guerriers combattent le dragon méchant” 	1
Common.Other.GlobalPrompt.GBC_Tips_LastFiveMinute_Limit	本轮团购已结束	l'achat groupé de ce round finit 	1
Common.Other.GlobalPrompt.GBC_Tips_Reward_Head	恭喜你获得#H	félicitations，tu obtiens #H	1
Common.Other.GlobalPrompt.GEM_GET_OFF_MSG	拆卸成功	démontage avec succès 	1
Common.Other.GlobalPrompt.GEM_NO_ENOUGH_MSG	装备孔数不足，无法进行镶嵌	des trous de l'équipement ne suffisent pas pour l'incrustation 	1
Common.Other.GlobalPrompt.GEM_NO_HOLE_MSG	该装备没有镶嵌孔，不能镶嵌	cet équipement n'a pas de trois de l'incrustation et on ne peut pas incruster 	1
Common.Other.GlobalPrompt.GEM_SAME_TYPE_MSG	已经镶嵌了同类型的宝石	des gemmes de même type sont déjà incrustées	1
Common.Other.GlobalPrompt.GLOBAL_NotOnlineRole	该角色不在线或者在跨服中！	ce rôle n'est pas en ligne ou dans l'inter-serveur！	1
Common.Other.GlobalPrompt.GODDESS_CARD_ALREADY_FINAL_PROMPT	本轮已进行终极开启	le niveau final de ce round s'ouvre	1
Common.Other.GlobalPrompt.GODDESS_CARD_REWARD_HEARSAY	#C(#FF6600)【女神卡牌】#C(#FFFFFF)恭喜玩家#C(#66FF00)%s#C(#FFFFFF)受到女神的青睐,在女神卡牌中获得#Z(%s,%s)	#C(#FF6600)【carte de la déesse】#C(#FFFFFF)félicitations le joueur #C(#66FF00)%s#C(#FFFFFF)gagne la faveur de la déesse et obtient #Z(%s,%s)dans la carte de la déesse 	1
Common.Other.GlobalPrompt.GODS_TREASURE_GOOD_ITEM_HEARSAY	#C(#E87D22)【众神秘宝】#C(#00FF00)%s#C(#FFFFFF)在神殿探宝千百度，默默的找到神灵埋下的秘宝：#Z(%s,%s)。#C(#00ff00)#U#A(#K(openZSMB))前往探宝#n#n	#C(#E87D22)【trésor mystique des dieux 】#C(#00FF00)%s#C(#FFFFFF)chercher plusieurs fois des trésors dans le temple et trouver des trésors mystiques enterrés par des dieux：#Z(%s,%s)。#C(#00ff00)#U#A(#K(openZSMB))aller chercher des trésors #n#n	1
Common.Other.GlobalPrompt.GODS_TREASURE_ONE_SUCCESS_PROMPT	探宝成功，获得#Z(%s,%s)	Détection du trésor avec succès, reçu #Z(%s,%s)	1
Common.Other.GlobalPrompt.GODS_TREASURE_SUCCESS_PROMPT	探宝成功，获得%s	Détection du trésor avec succès, reçu %s	1
Common.Other.GlobalPrompt.GOLD_END_MSG	这次炼金已结束	le Fonte d'or est fini cette fois	1
Common.Other.GlobalPrompt.GOLD_FULL_MSG	协助人数已满	le nombre des personnes assistantes est plein	1
Common.Other.GlobalPrompt.GOLD_HELP_DESC_MSG	#C(#EE7600)【炼金】#n#C(#FFFFFF)#C(#00FF00)%s#n玩家开启炼金炉，朋友们快来协助炼金，获取更多的奖励。  #C(#00ff00)#U#A(#K(OPEN_HELP_LIANJIN,%s))立即协助#n#n#n	#C(#EE7600)【Fonte d'or】#n#C(#FFFFFF)#C(#00FF00)%s#n a activé la Fonte d'or，mes amis, venez m'aider pour fondre l'or afin de recevoir plus de récompenses  #C(#00ff00)#U#A(#K(OPEN_HELP_LIANJIN,%s))aider immédiatement#n#n#n	1
Common.Other.GlobalPrompt.GOLD_HELP_LEVEL_MSG	等级达到30级可协助炼金。	Vous pouvez aider dans le raffinage au niveau 30	1
Common.Other.GlobalPrompt.GOLD_HELP_SUC_MSG	协助炼金成功，金币+%s	Assistance du raffinage avec succès, les pièces d'or+%s	1
Common.Other.GlobalPrompt.GOLD_HELP_SUC_MSG2	协助炼金成功，您今日已经没有协助炼金收益次数了。	Assistance du raffinage avec succès,vous n'avez plus du nombre des fois des bénéfices de l'assistance du raffinage	1
Common.Other.GlobalPrompt.GOLD_INIT_MSG	你已经在协助队列中	vous êtes dans la queue d'assistance	1
Common.Other.GlobalPrompt.GOLD_SUC_MSG	炼金成功，金币+%s。#H	Fonte d'or avec succès, les pièces d'or+%s。#H	1
Common.Other.GlobalPrompt.GS_Birthday_0	我还不知道你的生日日期，先把你的生日告诉我吧。	Je ne sais pas votre date de naissance, dites-moi votre date de naissance	1
Common.Other.GlobalPrompt.GS_Birthday_1	你已经领取过今年的生日礼包	vous avez déjà reçu le paquet de l'anniversaire pour cette année	1
Common.Other.GlobalPrompt.GS_Birthday_2	当前不是生日	ce n'est pas votre anniversaire	1
Common.Other.GlobalPrompt.GS_Birthday_Ok	设置成功	configuration avec succès 	1
Common.Other.GlobalPrompt.GS_LiBao_None	当前不是节日时间	ce n'est pas la date de fête	1
Common.Other.GlobalPrompt.GT_Begin_Tips	#C(#EE7600)【劫宝】神秘的地精族人带着稀世珍宝行走在#C(#00FF00)%s、%s，#n只有智勇双全的勇士们才有实力劫得珍宝。勇士你还等什么？夺得圣灵碎片，可兑换惊世奇珍，机不可失！#n	#C(#EE7600)【pillage du trésor】Des gnomes mystérieux marchent avec le trésor précieux sur le chemin de #C(#00FF00)%s、%s，#n seulement les courageux et intelligent sont capable de piller le trésor. Les courageux, qu'est-ce que vous attendez？Pillez les morceaux d'esprit sacré, et les échangez contre des trésors précieux!#n	1
Common.Other.GlobalPrompt.GT_End_Tips	#C(#EE7600)神秘的地精族人回到了各自的种族继续准备下一次运宝。#n	#C(#EE7600)les gnomes mystérieux sont rentrés chez eux pour préparer le prochain transport du trésor。#n	1
Common.Other.GlobalPrompt.GT_Exchang_S	兑换成功	échange avec succès	1
Common.Other.GlobalPrompt.GT_Fight_CD	战斗冷却中：%s秒	refroidissement:%s s	1
Common.Other.GlobalPrompt.GT_Fly	前往%s需要等级%s	Pour aller %s (Niv.requis:%s)	1
Common.Other.GlobalPrompt.GT_LimitLevel	等级不足	niveau insuffisant	1
Common.Other.GlobalPrompt.GT_Mail_Content	亲爱的玩家：#H    地精宝库的奖励我们已经通过邮件发送给您了。您可以提取附件获得奖励。	chers joueurs：#H    la récompense du trésor du gnome vous est envoyée par e-mail.	1
Common.Other.GlobalPrompt.GT_Mail_Send	系统	système 	1
Common.Other.GlobalPrompt.GT_Mail_Title	劫宝奖励	la récompense du pillage du trésor	1
Common.Other.GlobalPrompt.GT_NA_No_Reward_Cnt	您今日已经成功劫宝4次，请把机会留给其他人吧	vous avez déjà pillé le trésor pour 4 fois, laissez les autres essayer	1
Common.Other.GlobalPrompt.GT_Open_Tips	劫宝活动30级开启	disponible au niveau 30	1
Common.Other.GlobalPrompt.GT_Rob_Name	劫宝者-	la personne du pillage du trésor	1
Common.Other.GlobalPrompt.GT_Rob_Success	#C(#EE7600)【劫宝】#C(#00EE00)%s#n劫获了#C(#FF0000)%s#n运送的宝物#Z(%s,%s)	#C(#EE7600)【pillage du trésor】#C(#00EE00)%s#n a pillé le trésor de #C(#FF0000)%s#n-#Z(%s,%s)	1
Common.Other.GlobalPrompt.GVE_NEED_CAREER_PROMPT	您的队伍中尚缺#C(#FFFF00)%s#n人，无法进入副本	il reste encore #C(#FFFF00)%s#n personnes dans votre équipe, vous ne pouvez pas entrer dans l'instance	1
Common.Other.GlobalPrompt.GVE_NEED_DRAGON_LEVEL_PROMPT	队友神龙等级不足#C(#00EE00)%s#n，无法进入该副本。	le niveau du dragon magique de votre partenaire dans l'équipe ne suffit pas #C(#00EE00)%s#n, vous ne pouvez pas entrer dans l'instance 	1
Common.Other.GlobalPrompt.GVE_TEAM_FULL_CANT_INVITE_PROMPT	当前组队人数已满，无法发送邀请	le nombre des personnes du groupe à présent est plein, vous ne pouvez pas envoyer l'invitation	1
Common.Other.GlobalPrompt.GVE_WORLD_CALL	#C(#4169e1)组队副本，#C(#FFFF00)%s#n队伍尚缺#C(#FFFF00)%s#n人，等待你的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#4169e1)l'instance du groupe，#C(#FFFF00)%s#n l'équipe manque encore#C(#FFFF00)%s#npersonnes，on vous attend pour participation！#C(#00ff00)#U#T(#K(YQZD,%s,participer-y immédiatement,))	1
Common.Other.GlobalPrompt.GameUnionAward_tips	恭喜你，获得：	félicitations, reçu:	1
Common.Other.GlobalPrompt.GlamourParty_Tips_Head	成功领取目标奖励，获得：#H	vous avez reçu la récompense objective avec succès, reçu：#H	1
Common.Other.GlobalPrompt.GlamourParty_Tips_PartyGlamour	#C(#EE7600)【【魅力情人节】#n活动期间，举办派对获得了#C(#00EE00)%s#n点魅力值	#C(#EE7600)【【saint-valentin charmente】#n lors de l'activité, le banquet est fait pour gagne#C(#00EE00)%s#n points du charme	1
Common.Other.GlobalPrompt.GlamourParty_Tips_PartyQinmi	#C(#EE7600)【【魅力情人节】#n活动期间，获得额外加成#C(#00EE00)%s#n点亲密值	#C(#EE7600)【【saint-valentin charmente】#n lors de l'activité, vous pouvez recevoir #C(#00EE00)%s#n points d'intimité comme bonnus supplémentaire	1
Common.Other.GlobalPrompt.GlamourRank_Content	恭喜！您在【魅力排行】活动中跨服排名第#C(#00EE00)%s#n，达到了排名奖励标准，获得了丰厚奖励！	félicitations! Vous êtes le#C(#00EE00)%s#n dans le classement de l'activité du 【clasement du charme】d'inter-serveur，et vous avez atteint le standard des récompenses du classement, vous pouvez recevoir de nombreuses récompenses!	1
Common.Other.GlobalPrompt.GlamourRank_Local_Content	恭喜！您在#C(#E87D22)【魅力情人节-魅力排行】#n活动中本服排名第#C(#00EE00)%s#n，达到了排名奖励标准，获得了丰厚奖励！	félicitations! Vous êtes le #C(#00EE00)%s#n dans le #C(#E87D22)【saint -valention charmente-classement du charme】#n de ce serveuret vous avez atteint le standard des récompenses du classement, vous pouvez recevoir de nombreuses récompenses!	1
Common.Other.GlobalPrompt.GlamourRank_Local_Sender	系统	système 	1
Common.Other.GlobalPrompt.GlamourRank_Local_Title	【魅力排行】本服排名奖励	【le classement du charme】les récompenses du classement du serveur	1
Common.Other.GlobalPrompt.GlamourRank_Sender	系统	système 	1
Common.Other.GlobalPrompt.GlamourRank_Tips_Head	成功领取奖励，获得：#H	Reçu les récompenses avec succès, reçu ：#H	1
Common.Other.GlobalPrompt.GlamourRank_Title	【魅力排行】跨服排名奖励	【le classement du charme】les récompenses du classement d'inter-serveur	1
Common.Other.GlobalPrompt.GloryWar_CampFail	失败	défaite 	1
Common.Other.GlobalPrompt.GloryWar_CampName_1	烈阳城	cité de  soleil ardent 	1
Common.Other.GlobalPrompt.GloryWar_CampName_2	暗月郡	préfecture de lune sombre 	1
Common.Other.GlobalPrompt.GloryWar_CampWin	胜利	victoire 	1
Common.Other.GlobalPrompt.GloryWar_EightKill	#C(#00EE00)%s#n已经连续击杀#C(#ffff37)%s#n人了！真可谓是勇冠三军！	#C(#00EE00)%s#n a déjà attaqué #C(#ffff37)%s#n personnes consécutivement！Il est vraiment la personne la plus courageuse parmi toutes les armes！	1
Common.Other.GlobalPrompt.GloryWar_End	魔兽将领的突袭已被击退, 本次#C(#EE7600)【荣耀之战】#n活动结束。	L'attaque des monstres est arrêtée,#C(#EE7600)【combat de la gloire】#n est fini。	1
Common.Other.GlobalPrompt.GloryWar_EndKill	双拳难敌四手，好汉也怕人多，#C(#00EE00)%s#n终结#C(#00EE00)%s#n的#C(#ffff37)%s#n连杀	#C(#00EE00)%s#n a arrêté le record de #C(#00EE00)%s#n , combo:#C(#ffff37)%s#n 	1
Common.Other.GlobalPrompt.GloryWar_FifteenKill	#C(#00EE00)%s#n已经连续击杀#C(#ffff37)15#n人了！新一代的战神就此出现了！	#C(#00EE00)%s#n a déjà tué#C(#ffff37)15#n personnes consécutivement！Le dieu du combat de ma nouvelle génération apparaît!	1
Common.Other.GlobalPrompt.GloryWar_FightTips_1	你攻击了%s, 你胜利了，获得%s积分	vous avez vaincu%s, vous gagnez,et avez obtenu %s points	1
Common.Other.GlobalPrompt.GloryWar_FightTips_2	你攻击了%s, 你战败了，获得3积分	vous avez vaincu%s, vous perdez，et avez obtenu 3 points	1
Common.Other.GlobalPrompt.GloryWar_FightTips_3	%s攻击了你, 你胜利了，获得了%s积分	%s a vous vaincu , vous gagnez,et avez obtenu %s points	1
Common.Other.GlobalPrompt.GloryWar_FightTips_4	%s攻击了你, 你战败了，获得了3积分	%s a vous vaincu , vous perdez ，et avez obtenu 3 points	1
Common.Other.GlobalPrompt.GloryWar_Has_Join	您今天已经参与过1次荣耀之战，每天只能参与1次。	vous avez déjà participé au combat de l'honneur une fois pour aujourd'hui, vous ne pouvez participer qu'une fois tous les jours	1
Common.Other.GlobalPrompt.GloryWar_KillNpc_1	#C(#EE7600)【%s】#n阵营的#C(#00EE00)【%s】#n公会的#C(#00EE00)【%s】#n成功击败了【%s】！#C(#EE7600)【%s】#n阵营的玩家攻击它时将会获得强力BUFF！！	le  camps#C(#EE7600)【%s】#n la guilde#C(#00EE00)【%s】#n, #C(#00EE00)【%s】#n avaincu【%s】！les joueurs du #C(#EE7600)【%s】#n vont acquérir le BUFF fort lors de combat avec lui.	1
Common.Other.GlobalPrompt.GloryWar_KillNpc_2	#C(#EE7600)【%s】#n阵营的#C(#00EE00)【%s】#n成功击败了【%s】！#C(#EE7600)【%s】#n阵营的玩家攻击它时将会获得强力BUFF！！	le camp #C(#EE7600)【%s】#n de la guilde #C(#00EE00)【%s】#n a vaincu【%s】！les joueurs de #C(#EE7600)【%s】#nvont acquérir le BUFF fort lors de combat avec lui.	1
Common.Other.GlobalPrompt.GloryWar_Mail_Content	亲爱的玩家：#H    您的背包已满，荣耀之战的奖励我们已经通过邮件发送给您了。您可以先整理背包，然后提取附件获得奖励	chéri joueur ：#H    votre sac à dos est plein ,nous vous avons envoyé la récompense du combat de gloire .vous pouvez ranger le sac à dos avant que vous retiriez l'attachement et recoiviez la récompense.	1
Common.Other.GlobalPrompt.GloryWar_Mail_Send	系统	système 	1
Common.Other.GlobalPrompt.GloryWar_Mail_Title	【荣耀之战】	【combat de gloire 】	1
Common.Other.GlobalPrompt.GloryWar_OneMinuteReady	#C(#EE7600)【荣耀之战】#n将于1分钟后开始, 各位勇士可以提前入场准备了	#C(#EE7600)【combat de gloire】#n commence 1 minute plus tard,soyez prêts à y entrer 	1
Common.Other.GlobalPrompt.GloryWar_OtherCD	该玩家当前不可以挑战, 请先挑战其他玩家	on ne peut pas défier ce joueur ,vous pouvez en défier autre 	1
Common.Other.GlobalPrompt.GloryWar_OwnCD	你正在战斗冷却时间中, 请稍后再进行挑战	vous êtes au cours de refroidissement,défier plus tard.	1
Common.Other.GlobalPrompt.GloryWar_PveBegin	#C(#00EE00)魔兽将领#n突袭营地, 请勇士们速速返回营地救援	#C(#00EE00)chef des bêtes magiques attaque #nle camp par surprise,rentrer au camp pour l'assistance 	1
Common.Other.GlobalPrompt.GloryWar_PvpBegin	#C(#EE7600)【荣耀之战】#n已经开始, 勇士们请速速进入战场	#C(#EE7600)【combat de gloire】#n commence ,allez 	1
Common.Other.GlobalPrompt.GloryWar_TenMinuteReady	#C(#EE7600)【荣耀之战】#n将于5分钟后开始, 请各位勇士做好准备	#C(#EE7600)【combat de gloire】#n commence 5 minutes plus tard,soyez prêts	1
Common.Other.GlobalPrompt.GloryWar_TwentyKill	#C(#00EE00)%s#n已经连续击杀#C(#ffff37)%s#n人了！战场上还有人能阻挡他吗？？	#C(#00EE00)%s#n a tué #C(#ffff37)%s#n personnes,personne ne peut le stopper??	1
Common.Other.GlobalPrompt.GongXun_Tips	功勋+%s#H	exploit +%s#H	1
Common.Other.GlobalPrompt.GroupBuyParty_Tips_FirstOneMinute_Limit	本轮团购未开始	l'achat groupé de ce round ne commence pas encore	1
Common.Other.GlobalPrompt.GroupBuyParty_Tips_Head	购买成功，获得：#H	achat avec succès, reçu：#H	1
Common.Other.GlobalPrompt.GroupBuyParty_Tips_LastFiveMinute_Limit	本轮团购已结束	l'achat groupé de ce round est fini	1
Common.Other.GlobalPrompt.HERO_IS_FULL	英雄已满，无法领取	les héros sont pleins, vous ne pouvez pas le recevoir	1
Common.Other.GlobalPrompt.HS_1	左神卫	protecteur divin à gauche	1
Common.Other.GlobalPrompt.HS_2	右神卫	protecteur divin à droite	1
Common.Other.GlobalPrompt.HShoppingMailContent_1	由于您的背包已满，您在元旦跨年购物节中购买的物品通过邮件发放。	comme votre sac à dos est plein,les objets que vous avez achetés dans la fête d'achat du nouvel an est envoyé par e-mail.	1
Common.Other.GlobalPrompt.HShoppingMailContent_2	由于您的背包已满，您在元旦跨年购物节中领取的积分奖励礼包通过邮件发放。	comme votre sac à dos est plein,les paquets des récompenses des points accumulés que vous avez reçus dans la fête d'achat du nouvel an est envoyé par e-mail.	1
Common.Other.GlobalPrompt.HShoppingMailSender_1	系统	système 	1
Common.Other.GlobalPrompt.HShoppingMailSender_2	系统	système 	1
Common.Other.GlobalPrompt.HShoppingMailTitle_1	元旦跨年购物节	la fête de l'achat du nouvel an	1
Common.Other.GlobalPrompt.HShoppingMailTitle_2	元旦跨年购物节	la fête de l'achat du nouvel an	1
Common.Other.GlobalPrompt.HT_1	少将	Général de division	1
Common.Other.GlobalPrompt.HT_2	中将	Lieutenant général	1
Common.Other.GlobalPrompt.HT_3	上将	Amiral	1
Common.Other.GlobalPrompt.HT_4	大将	Général	1
Common.Other.GlobalPrompt.HT_5	元帅	Maréchal	1
Common.Other.GlobalPrompt.HWishMailContent	由于您的背包已满，您在元旦金币祈福礼许愿获得的物品通过邮件发放。	Comme votre sac à dos est plein, les objets que vous avez reçus par souhait dans la prière d'or du nouvel an seront envoyés par e-mail	1
Common.Other.GlobalPrompt.HWishMailSender	系统	système 	1
Common.Other.GlobalPrompt.HWishMailTitle	元旦金币祈福礼	le paquet de la prière d'or du nouvel an	1
Common.Other.GlobalPrompt.HallowCardOverTime	变身卡已过期	la carte de trasformation est expirée	1
Common.Other.GlobalPrompt.HallowCollect	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在变身卡收集活动中成功达到收集条件，获得:	#C(#E87D22)【toussaint】#n#C(#00EE00)%s#n a atteint les conditions de collection dans l'activité de la collestion des cartes de trasformation, il a reçu:	1
Common.Other.GlobalPrompt.HallowCollect2	获得#Z(%s,%s)，真是太霸气了！	reçu#Z(%s,%s)，c'est vraiment génial！	1
Common.Other.GlobalPrompt.HallowDesc	亲爱的玩家，因%s在宴会中使用了万紫千红烟花，你额外获得#Z(%s,%s)，现邮件发放给你，请查收。	cher joueur, comme %s a utilisé le feu artificiel de toute couleur dans le banquet, vous avez reçu #Z(%s,%s) supplémentairement qui est envoyé par e-mail maintenant, vérifiez, s.v.p	1
Common.Other.GlobalPrompt.HallowFire	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在万圣节宴会活动中放烟花成功获得#Z(%s,%s)，真是太霸气了！	#C(#E87D22)【toussaint】#n#C(#00EE00)%s#n a dans l'activité du banquet du Toussaint reçu#Z(%s,%s) avec succès en mettant le feu artificiel，c'est vraiment génial！	1
Common.Other.GlobalPrompt.HallowFire2	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在万圣节宴会活动中放烟花成功获得#t(#K(sTT,%s,%s))#H，真是太霸气了！	#C(#E87D22)【toussaint】#n#C(#00EE01)%s#n a dans l'activité du banquet du Toussaint reçu#t(#K(sTT,%s,%s))#H avec succès en mettant le feu artificiel，c'est vraiment génial！	1
Common.Other.GlobalPrompt.HallowFireGlobal	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在万圣节宴会活动中使用了万紫千红烟花，宴会中的玩家都获得了#Z(%s,%s)奖励，快来膜拜吧！	#C(#E87D22)【toussaint】#n#C(#00EE01)%s#n a dans l'activité du banquet du Toussaint utilisé le feu artificiel de toute couleur, tous les joueurs dans le banquet auront la récompense #Z(%s,%s), venez pour lui admirer!	1
Common.Other.GlobalPrompt.HallowKillMsg	成功打鬼%s次，获得:	Attaque des fontôme %s fois avec succès, reçu:	1
Common.Other.GlobalPrompt.HallowMailTitle	宴会烟花额外奖励	récompense supplémentaire du feu artificiel dans le banquet	1
Common.Other.GlobalPrompt.HallowNotChange	在婚礼场景中不能变身	c'est interdit de transformer dans les scènes du banquet	1
Common.Other.GlobalPrompt.HallowTaskMsg	当前形象不符合宴会任务要求变身形象，无法领取奖励。	l'image à présent ne correspond pas à celle demandé de la tâche de la transformation du banquet, vous ne pouvez pas recevoir les récompenses	1
Common.Other.GlobalPrompt.HalloweenKillMsg	#C(#E87D22)【万圣节】#n#C(#00EE00)%s#n在万圣节打鬼活动中成功获得 #Z(%s,%s)，真是太霸气了！	#C(#E87D22)【toussaint】#n#C(#00EE00)%s#n a dans l'activité de l'attaque des fontômes reçu #Z(%s,%s)，c'est vraiment génial!	1
Common.Other.GlobalPrompt.HalloweenKillMsg2	%s在万圣节打鬼活动中成功获得 #t(#K(sTT,%s,%s))，真是太霸气了！	%s a dans l'activité de l'attaque des fontômes reçu#t(#K(sTT,%s,%s))，c'est vraiment génial!	1
Common.Other.GlobalPrompt.HalloweenLightMsg	你成功消耗%s神石，释放了%s次烟花，获得:	vous avez consommeé %s pierres divines, et allumé %s fois du feu artificiel, reçu:	1
Common.Other.GlobalPrompt.HalloweenNA_CONTENT	内容	contenu 	1
Common.Other.GlobalPrompt.HalloweenNA_SENDER	发邮人	expéditeur	1
Common.Other.GlobalPrompt.HalloweenNA_TITLE	题目	titre 	1
Common.Other.GlobalPrompt.Hallows_InheritanceSuccessfully	继承成功	héritage avec succès 	1
Common.Other.GlobalPrompt.Hallows_OneKeyShenzaoOkay	神造成功，经验值加+%s	Création divine avec succès ，valeur d'expérience +%s	1
Common.Other.GlobalPrompt.Hallows_ShenzaoOkay	神造成功，经验值加1	Création divine avec succès ，valeur d'expérience +1	1
Common.Other.GlobalPrompt.HaoqiLocal_Content	恭喜！您在#C(#E87D22)【豪气冲天】#n活动中本服排名第%s，达到了排名奖励标准，获得了丰厚奖励！	félicitations!vous dans l'activité#C(#E87D22)【générosité vers le ciel】#nvous classez #C(#00EE00)%s#n，et atteignez le niveau pour recevoir la récompense du classement et recevez de nombreuses récompenses!	1
Common.Other.GlobalPrompt.HaoqiLocal_Sender	系统	système 	1
Common.Other.GlobalPrompt.HaoqiLocal_Title	【豪气冲天】本服排名奖励	Les récompenses du classement du serveur de 【générosité vers le ciel】	1
Common.Other.GlobalPrompt.HaoqiReward_Content	由于您的背包已满, 系统已将【豪气冲天】充值奖励暂时保存于邮件附件中。请尽快整理您的背包，预留足够的背包格子，并且在7天内提取附件中的物品。	comme votre sac à dos est plein，le système garde votre récompense de la recharge de【générosité vers le ciel】dans l'annexe de l'e-mail provisoirement, s'il vous plaît, arrangez votre sac à dos, et réservez assez de place. Il faut recevoir la récompense en 7 jours	1
Common.Other.GlobalPrompt.HaoqiReward_Sender	系统	système 	1
Common.Other.GlobalPrompt.HaoqiReward_Title	【豪气冲天】充值奖励	la récompenses de la recharge de la 【générosité vers le ciel】	1
Common.Other.GlobalPrompt.Haoqi_Content	恭喜！您在#C(#E87D22)【豪气冲天】#n活动中跨服排名第%s，达到了排名奖励标准，获得了丰厚奖励！	félicitations!vous dans l'activité#C(#E87D22)【générosité vers le ciel】#nvous classez #C(#00EE00)%s#n d'inter-serveurs，et atteignez le niveau pour recevoir la récompense du classement et recevez de nombreuses récompenses!	1
Common.Other.GlobalPrompt.Haoqi_Sender	系统	système 	1
Common.Other.GlobalPrompt.Haoqi_Title	【豪气冲天】跨服排名奖励	Les récompenses du classement d'inter-serveurs de 【générosité vers le ciel】	1
Common.Other.GlobalPrompt.HeavenUpRMB_MSG	#C(#EE7600)【神石转转乐】#n#C(#00EE00)%s#n拿出#C(#00EE00)%s#n神石接受神灵的恩泽，圣光一闪，掉落#C(#00EE00)%s#n神石。真是福星高照，好运连连啊！	#C(#EE7600)【pierres magique en tournant de la joie】#n#C(#00EE00)%s#nprenez#C(#00EE00)%s#nles pierres magique pour recevoir le bohneur du dieu, la sacré lumière brille#C(#00EE00)%s#npierres divinessont tombées. L'étoile du bonheur nous aide, et j'ai toujours de la chance!	1
Common.Other.GlobalPrompt.HeavenUpRMB_MSG2	#C(#EE7600)【神石转转乐】#n#C(#00EE00)%s#n拿出#C(#00EE00)%s#n神石接受神灵的恩泽，圣光一闪，掉落#C(#00EE00)%s#n神石。还未来得及回神，只见神灵现形小手一抖，又有#C(#00EE00)%s#n神石掉落手中，幸福来得真是太突然！	#C(#EE7600)【pierres magique en tournant de la joie】#n#C(#00EE00)%s#nprenez#C(#00EE00)%s#nles pierres magique pour recevoir le bohneur du dieu, la sacré lumière brille#C(#00EE00)%s#npierres divinessont tombées. je n'ai pas le temps pour répondre,le dieu parraît à nouveau et ses mains tremblent,#C(#00EE00)%s#n pierres divinessont dans ma main, le bohneur vient trop rapidemment !	1
Common.Other.GlobalPrompt.HefuBossActiveSeverAward	并且为全服激活了合服BOSS奖励。#C(#00FF00)#U#A(#K(OPEN_KAIFU_BOSS_PANEL))前往领取#n#n	et on a activé les récompenses du BOSS du mélange des serveurs pour tous les serveurs.#C(#00FF00)#U#A(#K(OPEN_KAIFU_BOSS_PANEL))y va pour recevoir #n#n	1
Common.Other.GlobalPrompt.HefuBossServerTips1	#C(#FFFF00)%s#n领取了	#C(#FFFF00)%s#n a reçu	1
Common.Other.GlobalPrompt.HefuBossServerTips2	奖励，感谢	récompense,merci 	1
Common.Other.GlobalPrompt.HefuBossServerTips3	击败了合服BOSS中的#C(#FF6600)%s#n。	dans le BOSS du mélange des serveurs, il a vaincu#C(#FF6600)%s#n。	1
Common.Other.GlobalPrompt.HefuBossSingleAwardTips	，独自获得了奖励	, recevoir les récompenses lui-même	1
Common.Other.GlobalPrompt.HefuBossSingleTips	独自一人成功击败了合服BOSS中的#C(#FF6600)%s#n	dans le BOSS du mélange des serveurs, il a vaincu#C(#FF6600)%s#n lui-même。	1
Common.Other.GlobalPrompt.HefuBossTeamAwardTips	，分别获得了奖励	, recevoir les récompenses respectivement	1
Common.Other.GlobalPrompt.HefuBossTeamTips	齐心协力共同成功击败了合服BOSS中的#C(#FF6600)%s#n	dans le BOSS du mélange des serveurs, ils ont vaincu#C(#FF6600)%s#n ensemble.	1
Common.Other.GlobalPrompt.HefuBossWorshipTip	你膜拜了大神	vous avez admiré le génie	1
Common.Other.GlobalPrompt.HeroAltar_AddHero_Tips_1	#C(#ffffff)#U#A(#K(playerMenu,%s,%s,%s,TYPE8,%s,0,%s,%s))#C(#0099cc)%s#n#n#n在#C(#0099cc)[%s]#n幸运召唤到[#C(#FF33CC)%s#n]前来效力, 这是要称霸全服的节奏啊。	#C(#ffffff)#U#A(#K(playerMenu,%s,%s,%s,TYPE8,%s,0,%s,%s))#C(#0099cc)%s#n#n#n à #C(#0099cc)[%s]#n appelle avec succès[#C(#FF33CC)%s#n]pour l'aider,il a un air de conquerir tout le serveur.	1
