index	exam_type	title	answer1	answer2	right
378	30	Какая из “крупных кошек” самая крупная? 	Тигр	Лев	1
379	30	Пауки умеют летать?	Да	Нет	1
380	30	Что представляет собой жужжание насекомых?	Трение крыльев	Их язык	1
381	30	Что делает кровь красной?	железо	цинк	1
382	30	Может ли воздушный шар улететь в космос?	Да	Нет	2
383	30	Сколько планет с Солнечной системе?	8	9	1
384	30	Как правильно пить зелёный чай?	С сахаром	Без сахара	1
385	30	Столица Мадагаскара. 	Антананариву	Москва	1
386	30	Куда Иисус вел евреев?	Иерусалим	Мекка	1
387	30	Будда был	Принцем	Простолюдином	1
388	30	Сколько лет ходил Моисей по пустыне?	40	70	1
389	30	Как называется предмет для повышения уровня богини?	Кристалл богини	Перо богини	2
390	30	Как правильно называются крылья из модного сета “Дьявол”? 	Крылья дьявола	Крылья демона	1
391	30	Можно ли сменить фракцию в игре?	Да	Нет	2
392	30	Сколько баленов нужно для создания гильдии?	150	10	2
393	30	Какого предмета нет в игре?	Кровь дракона	Сердце дракона	2
394	30	Сколько очков нужно для открытия богини Тельца?	1500	3000	1
395	30	Для чего нужны кнуты тренировки маунта? 	Купить маунта	Качать маунта	2
396	30	Какой уровень ВИП позволяет сбросить кд зачарованная экипировки? 	4	2	1
397	30	На каком уровне доступен питомец?	70	60	1
398	30	Можно ли использовать фрукты опыта для главного героя?	Нет	Да	1
399	30	Какой босс находится на 30 этаже Башни смерти?	Падший ангел	Ведьма	2
400	30	Какого дракона можно собрать на втором этаже Башни отряда? 	Зеленого 	Синего	1
401	30	Сколько попыток взаимодействия дается в день над пленниками? 	6	10	1
402	30	Можно ли сделать главного героя золотым?	Да	Нет	1
403	30	О каких минералах говорят «Воды боится, а из воды родится?»	Соль	Кварц	1
404	30	Какая часть света самая высокая?	Африка	Азия	2
405	30	На какой естественный предмет больше всего похожа по своему строению Земля?	Яйцо	Шар	1
406	30	Как называется веревка с петлей на конце?	Лассо	Удавка	1
407	30	Ягода ярко-малинового цвета	Вишня	Малина	2
408	30	Начальный этап спортивного состязания	Начало	Старт	1
409	30	Дикий предок собаки	Волк	Тигр	1
410	30	Слой, образующий на поверхности железа в результате коррозии	Ржавчина	Налёт	1
411	30	Место, откуда Тезею помогла выбраться нить Ариадны	Бездна	Лабиринт	2
412	30	Доска для арифметических вычислений в Древней Греции	Абак	Ректа	1
413	30	Информация о товарах с целью создания спроса на них	Реклама	Пропаганда	1
414	30	Мадам по-шведски	Фрик	Фру	2
415	30	Мост на лодках, впервые примененный голландцами.	Понтон	Патон	1
416	30	Он приходит во время еды?	Гость	Аппетит	2
417	30	Одинокий холм?	Гора	Сопка	2
418	30	Какое из этих государств меньше?	Венесуелла	Монако	2
419	30	Где находится страна-родина бумаги?	В Азии	В Африке	1
420	30	Женская одежда в Индии в виде куска ткани?	Сари	Сахель	1
421	30	Плащ или накидка из прямоугольного куска ткани с отверстием посредине для головы.	Прадо	Пончо	2
422	30	Тонкая сетка, деталь женской шляпы.	Накидка	Вуаль	2
423	30	Украшение в виде большого кольца, которое носят на запястье.	Колье	Браслет	2
424	30	Брюки, чуть выше колен, довольно свободные, стрелками, иногда с отворотами по низу.	Галифе	Бермуды	2
425	30	Какими тремя нотами моряки замеряют свой путь?	Ми-ля-ми.	Ми-ре-до.	1
426	30	В греческой мифологии богиня войны и победы	Ника.	Персефона	1
427	30	Как собаки охлаждают свой организм?	Часто дышат	Принимают душ	1
428	30	Что едят кенгуру?	Фрукты	Траву	2
429	30	У каких двух планет солнечной системы нет спутников?	Венеры и Меркурия	Марса и Юпитера	1
430	30	За сколько минут космический челнок совершает оборот вокруг Земли?	90 минут	180 минут	1
431	30	На какой планете солнечной системы находится самая большая гора солнечной системы?	На Марсе	На Плутоне	1
432	30	С какого конца разбивали яйца жители Лилипутии?	С острого	С тупого	1
433	30	Сколько заплатил Чичиков Плюшкину за каждую мертвую душу?	1 золотой	32 копейки	2
434	30	Что именно вышиб князь Гвидон?	глаз	днище бочки	2
435	30	Какой титул присвоил Распе самому правдивому человеку в мире?	барон	герцог	1
436	30	Чем в пьесе Б. Шоу «Пигмалион» торговала Элиза Дулитте?	цветами	помидорами	1
437	30	Сколько ткани отпустил Рабле на штаны Гаргантюа?	1100 локтей	10 метров	1
438	30	Как звали капитана, которого вывели в люди собственные дети?	Грант	Немо	1
439	30	Как звали женщину у которой любимый ходил по ниточке?	Женевьева	Ариадна	2
440	30	Какая порода у собаки Артамона из «Приключений Буратино»?	Бультерьер	Пудель	2
441	30	В какой руке держали скипетр цари-самодержцы?	В правой	В левой	1
442	30	Кто исполнял обязанности «тамады» в Древней Руси?	Боярин	Дружка	2
443	30	Что надевал вместо шляпы человек рассеянный с улицы Бассейной?	Сковороду	Тазик	1
444	30	Как фамилия героя, который воровал машины в фильме «Берегись автомобиля»? 	Деточкин	Кошкин	1
445	30	Как звали друга англичанина, прожившего на острове 28 лет 2 месяца и 19 дней?	Пятница	Джон	1
446	30	Литературный герой, посеявший деньги	Буратино	Колобок	1
447	30	Какого созвездия не видно в северном полушарии зимой?	Большая медведица	Орион	2
448	30	Что случилось 30 февраля?	Революция	Такого числа нет	2
449	30	Самый популярный парикмахер во всем мире.	Фигаро	Раскель	1
450	30	Швейная принадлежность, в которой таится  опасность для сказочных долгожителей.	Машинка	Игла	2
451	30	Столица государства и имя певицы.	София	Мария	1
452	30	Сказка о долгом пути хлебобулочного изделия к потребителю.	Колобок	Красная шапочка	1
453	30	Для написания, какого поэтического произведения нужно уметь считать до 14?	Баллада	Сонет	2
454	30	Какая певица-композитор скрывала себя под псевдонимом Борис Горбонос?	Тамара Гвердцители	А. Пугачева	2
455	30	Медведь, который не впал в зимнюю спячку	Шатун	Гризли	1
456	30	Страна, где свыше половины жителей пользуются энергией гейзеров	Исландия	Ирландия	1
457	30	Причина возникновения гриппа	Вирус	Бактерия	1
458	30	Его дают человеку раз и навсегда	Имя	Фамилию	1
459	30	Длинная лодка из ивы или липы у казаков Запорожской Сечи	Чайка 	Ласточка	1
460	30	И канцелярская, и электрическая, и ядерная	Ракета	Кнопка	2
461	30	Форма устной речи , разговор двух или более людей	Диспут	Диалог	2
462	30	Изображение рельефа Земли на бумаге	Карта	Барельеф	1
463	30	Напиток олимпийских богов, дающий им бессмертие	Вино	Нектар	2
464	30	Одно из названий Донецка	Углегорск	Юзовка	2
465	30	Насекомое – символ трудолюбия	Муравей	Трутень	1
466	30	Второй экземпляр документа	Плагиат	Копия	2
467	30	Дворянский титул Мюнхгаузена.	граф	барон	2
468	30	Кто в работе ошибается только раз	Снайпер	Сапер	2
469	30	Ввоз товаров из-за границы	Импорт 	Экспорт	1
470	30	Помещение для хранения и ремонта самолетов.	Ангар	Гараж	1
471	30	Мелкое место в реке удобное для перехода.	Брод	Берег	1
472	30	Раб, сражавшийся на арене в Древней Греции.	Гладиатор	Олимпиец	1
473	30	Шашка, достигшая последнего ряда.	Дамка	Королева	1
474	30	Гриб в горошек.	Мухомор	Сыроежка	1
475	30	Площадка для тенниса.	Корт	Поле	1
476	30	Окно на судне, глубоководном или летательном аппарате.	Форточка	Иллюминатор	2
477	30	Артист эстрады, ведущий концерт.	Ведущий	Конферансье	2
478	30	Моряк из Йорка, который отправился в торговый рейс в Африку за невольниками.	Робинзон Крузо	Фернан Магеллан	1
479	30	Персонаж романов Жюля Верна, капитан, принц Даккара.	Немо	Робинзон Крузо	1
480	30	Девочка, принявшая участие в чаепитии и королевском крокете.	Алиса	Мария	1
481	30	Мальчик, отправившийся за сокровищами в романе Стивенсона.	Джим Хокинс	Том Сойер	1
482	30	Героиня сказочных повестей Памелы Трэверс, волшебница.	Ведьма Запада	Мери Поппинс	2
483	30	Сказочный герой, вырастивший розу и приручивший лиса.	Маленький принц	Джим	1
484	30	Повелитель сил Тьмы, один глаз которого был зелёным, а второй чёрным.	Воланд	Кощей	1
485	30	На каком острове в Индийс­ком океане обитала птица додо?	Мадагаскар	Маврикий	2
486	30	Какой из этих подвидов тиг­ров не вымер?	Каспийский тигр	Амурский тигр	2
487	30	Как звали последнего извест­ного в мире странствующего голубя?	Марта	Боб	1
488	30	Насколько давно (по грубой оцен­ке) вымерли неандертальцы?	30 тыс.лет назад	60 тыс.лет назад	1
489	30	Что будет, если чёрный платок опустить в красное море?	Намокнет	Станет красным	1
490	30	На какое дерево садится ворона во время дождя?	На мокрое	На высокое	1
491	30	Как звучит фраза которую говорит кот Леопольд? "Давайте жить - ...."	Дружно	Мирно	1
492	30	Что легче: килограмм ваты или килограмм железа?	Одинаково	Железа	1
493	30	Какой болезнью никто никогда не болел на земле?	Морской	Космической	1
494	30	На какой вопрос нельзя ответить «да»?	Вы спите?	Вы живы?	1
495	30	По чему собака бегает?	По земле	По тропинке	1
496	30	От чего плавает утка?	От берега	От пристани	1
497	30	Может ли страус назвать себя птицей?	Да	Нет	2
498	30	Как называется известная в Англии башня с часами?	Биг-Бен	Биг-Тауер	1
499	30	Из какой посуды нельзя ничего съесть?	Из пустой	Из грязной	1
500	30	Бутылка с пробкой стоит 11 рублей. Бутылка стоит на 10 рублей больше, чем пробка. Сколько стоит пробка?	50 копеек	1 рубль	1
501	30	По чему ходят часто, а ездят редко?	Лестница	Лифт	1
502	30	Где встречается такое, что конь через коня перепрыгивает?	На скачках 	В шахматах 	2
503	30	Какой слон без носа?	Шахматный	Индийский	1
504	30	Сколько весит на Луне 70-килограммовый человек? 	12 кг	70 кг	1
505	30	Какова продолжительность дня и ночи на Луне? 	2 недели	48 часов	1
506	30	Как называется максимальная высота полета ракеты, самолёта? 	Крыша	Потолок	2
507	30	Как называется замкнутая кривая, по которой одно тело движется вокруг другого? 	Эллипс	Орбита	2
508	30	Кто первым из живых существ на космическом аппарате  облетел Луну? 	Черепаха	Человек	1
509	30	Божество весеннего плодородия, изображающееся в виде чучела? 	Рюрик	Ярила	2
510	30	Кусок плотной материи, навертываемый на ногу при ношении лаптей? 	Онучи	Портянка	1
511	30	Как называли человека, который в Др. Руси добывал мед диких пчел в лесу? 	Пчеловод	Бортник	2
512	30	Печенежский князь, убивший Святослава?	Кура	Мстислав	1
513	30	Как называют свисток, которым охотник подманивает птиц?	Манок	Свистулька	1
514	30	Звонил ли когда-нибудь Царь-колокол?	Да	Нет	2
515	30	Кто написал "Повесть временных лет"?	Нестор	Аввакум	1
516	30	Кем приходился Батый Чингисхану?	Сыном	Внуком	2
517	30	Новый год 1 января стали отмечать после указа?	Екатерины II	Петра I	2
518	30	Жидкое мучное блюдо у украинцев и белорусов.	Затирка	Замеска	1
519	30	Что бросают, вызывая соперника на дуэль?	Оружие	Перчатку	2
520	30	Сколько штатов находится на территории США?	50 штатов	45 штатов	1
521	30	Какими войсками командует адмирал?	ВДВ	ВМФ	2
522	30	Кто такой Шрек?	Огр	Троль	1
523	30	Какая порода собак не существует?	Монтефорт-терьер	Бультерьер	1
524	30	Какова длина носа Статуи Свободы?	1,37 м	2,37 м	1
525	30	Кому из этих героев удалось бежать после падения Трои?	Ахилл	Эней	2
526	30	Из какого языка пришло слово "Геометрия"?	Греческого	Английского	1
527	30	Кого Марко Поло в своём путешествии принял за легендарное мифическое животное?	Пингвина	Носорога	2
528	30	Какому государству сейчас принадлежит Тибет?	Китаю	Дубаю	1
529	30	Какой знак препинания появился первым в русском языке?	Троеточие	Точка	2
530	30	Коко Шанель советовала каждой женщине иметь "маленькое черное..."	Платье	Портмоне	1
531	30	Сколько океанов омывает территорию США?	Три	Два	1
532	30	Какое настоящее имя Леси Украинки??	Мария	Лариса	2
533	30	Какой из этих драгоценных камней не является разновидностью берилла?	Хризолит	Стоматит	1
534	30	Кто из этих шахматистов никогда не был чемпионом мира?	А.Мирный	В.Корчной	2
535	30	Что греки называли "водяным вором" - клепсидрой?	Водяные часы	Водопровод	1
536	30	Где находится Танталова пещера?	Греция	Австрия	2
537	30	Сколько раз Франклин Рузвельт избирался на пост президента США?	Четыре	Один	1
538	30	Какую фамилию носил отрицательный герой "Капитанской дочки" Пушкина?	Швабрин	Шейкин	1
539	30	Какой орган человека не функционирует до его рождения?	Сердце	Лёгкие	2
540	30	Какой из этих камней не прозрачный?	Яшма	Аквамарин	1
541	30	Как называется место на берегу, где обитают тюлени?	Хранилище	Лежбище	2
542	30	Какое советское издательство выпускало сатирический журнал "Крокодил"?	"Правда"	"Ложь"	1
543	30	Бог сна греческой мифологии?	Гипнос	Ихор	1
544	30	Ужас греческой мифологии?	Авгий	Деймос	2
545	30	Европейская дикая лошадь	Гнедой	Тарпан	2
546	30	Какая змея существует?	Полоз	Визер	1
547	30	Какова примерная длина Панамского канала?	122 км.	82 км.	2
548	30	Какая страна запустила первую межпланетную космическую станцию к Венере?	СССР	США	1
549	30	Какое из транспортных колец Москвы не замкнуто?	Садовое	Бульварное	2
550	30	Где находится самая маленькая мышца человеческого тела?	В ухе	В ноге	1
551	30	Национальным головным убором какой страны является панама?	Чили	Эквадор	2
552	30	Кого или что ненавидит мизантроп?	Насекомых	Людей	2
553	30	Кто из перечисленных  змея?	Цербер	Нагаина	2
554	30	Как называется швейцарская валюта?	Франк	Цент	1
555	30	Где зародился танец румба?	На Кубе	В Аргентине	1
556	30	Из какого языка пришло в русский язык слово "караван"?	Арабский	Персидский	2
557	30	Какой музыкальный темп соответствует спокойному шагу?	Анданте	Рондо	1
558	30	Какое время года больше всего любил Пушкин?	Весна	Осень	2
559	30	Что из указанного не растворяется в воде?	Масло	Соль	1
560	30	Кто автор рассказа "Темные аллеи"?	Бунин	Куприн	1
561	30	Кто вымер раньше: мамонты или динозавры?	Мамонты	Динозавры	2
562	30	Какое животное самое крупное в мире?	Кит	Слон	1
563	30	На каком музыкальном инструменте играл Шерлок Холмс?	Пианино	Скрипка	2
564	30	Сколько животных жило у Пеппи Длинный Чулок?	2	4	1
565	30	Какой рыцарь прославился боями с ветряными мельницами?	Дон Кихот	Сэр Ланселот	1
566	30	Какое животное самое ядовитое в мире?	Лягушка	Змея	1
567	30	Победа в шахматной партии называется?	Шах	Мат	2
568	30	Самый большой океан?	Тихий	Индийский	1
569	30	Что выкрал Прометей у богов?	Огонь	Свет	1
570	30	Что измеряет спидометр?	Силу	Скорость	2
571	30	Название города, в котором находится падающая башня?	Пиза	Париж	1
572	30	Стая, каких перелетных птиц обещает снег?	Жаворонков	Гусиная	2
573	30	В какой стране самое большое население?	Индия	Китай	2
574	30	Кто был первым и последним президентом СССР?	Б. Ельцин	М. Горбачев	2
575	30	Как называется голосование, проводимое по важному вопросу государственой жизни?	Опрос	Референдум 	2
576	30	Форма государствено-политического устройства в России?	Демократия	Монархия	1
577	30	Как называется центральная часть атома?	Ядро	Электрон	1
578	30	Самый легкий газ на Земле?	Ксенон	Водород	2
579	30	Какое дерево является символом России?	Дуб	Береза	2
580	30	Какое поле появляется вокруг любого предмета?	Гравитационное	Электронное	1
581	30	Что является графиком квадратичной функции?	Парабола	Гипербола	1
582	30	Какой специалист использует горн?	Кузнец	Плотник	1
583	30	В какой игре используется мяч овальной формы?	Бейсбол	Регби	2
584	30	Как называется последняя сдаваемая карта прикупа в покере?	Ривер	Флоп	1
585	30	Устройство, позволяющее видеть удаленные небесные тела?	Микроскоп	Телескоп	2
586	30	Как называется подъемный механизм колодца?	Кран	Ворот	2
587	30	Что, по мнению почтальона Печкина, является главным украшением новогоднего стола?	Мандарины	Телевизор	2
588	30	Что означает в переводе с французского название пирожного "безе"?	Поцелуй	Обьятия	1
589	30	Сколько звезд в созвездии "Большая медведица"?	9	7	2
590	30	Где появились первые бумажные деньги?	Индия	Китай	2
591	30	Наука изучающая животных?	Зоология	Ботаника	1
592	30	Как называется ограждение для содержания пресмыкающихся или земноводных?	Террариум	Загон	1
593	30	Сколько корон у орла на гербе РФ?	2	3	2
594	30	Сколько литров воды в одном кубическом метре?	1000	100	1
595	30	Из какой крупы готовят легендарную гурьевскую кашу?	Манная	Овсяная	1
596	30	Как называется духовой музыкальный инструмент с воздушным резервуаром?	Волынка	Вальторна	1
597	30	Куда дует восточный ветер?	Запад	Север	1
598	30	В каком году был покорен Эверест?	1953	1963	1
599	30	Какой из темпов музыки - быстрее?	Престо	Анданте	1
600	30	Как называют человека, который плохо плавает?	Молоток	Топор	2
601	30	Как называется небольшая доска, на которой художник смешивает краски?	Холст	Палитра	2
602	30	Как называется щётка для чистки бутылок?	Ёрш	Губка	1
603	30	Какая планета ближе находится к Солнцу?	Меркурий	Плутон	1
604	30	Образование белков происходит в?	Митохондриях	Рибосомах	2
605	30	На каком музыкальном инструменте играют в калошах?	Орган	Фортепьяно	1
606	30	За какой промежуток времени Земля совершает один полный оборот вокруг своей оси?	за сутки	за год	1
607	30	Как называется ансамбль из 9 музыкантов?	Нонет	Квинтет	1
608	30	Какое из этих государств меньше?	Андорра	Ватикан	2
609	30	Чего нет лишь у одной республики в мире - островного государства Науру?	Столицы	Конституции	1
610	30	Чем бьют по шару игроки в крокет?	Битой	Молотком	2
611	30	Как в математике называется теорема не требующая доказательства?	Аксиома	Утверждение	1
612	30	Сколько карт в преферансной колоде?	36	32	2
613	30	Кто сказал: "А все-таки она вертится?"	Галилей	Евклид	1
614	30	Какого цвета драгоценный рубин?	Красного	Зеленый	1
615	30	Из чего делается манная крупа?	Пшеница	Кукуруза	1
616	30	Раздел математики, изучающий пространственные структуры, отношения и их обобщения?	Алгебра	Геометрия	2
617	30	Как называют узкую длинную комнату?	Карандаш	Пенал	2
618	30	На чей свист ссылаются, когда говорят о неопределённом сроке?	Рак	Краб	1
619	30	Собрание или совещание врачей для прянятия конкретного решения?	Саммит	Консилиум	2
620	30	Как звали почтальона Печкина из мультфильма "Трое из Простоквашино"?	Игорь Иванович	Игорь Алексеевич	1
621	30	Сколько негритят было в известном произведении Агаты Кристи?	10	12	1
622	30	В каком году затонул легендарный "Титаник"?	1912	1916	1
623	30	Бог врачевания в римской мифологии?	Асклепий	Эскулап	2
624	30	Индейские башмаки без каблуков из свежевыдубленной кожи.	Мокасины	Тапки	1
625	30	Как в старину на флоте называли горячий чай с лимоном, сдобренный значительной порцией рома?	Прокурор	Адвокат	2
626	30	Как называют человека, придерживающегося очень строгого образа жизни?	Отшельник	Пуританин	2
627	30	Какое дерево используется для изготовления коньячных бочек?	Дуб	Кедр	1
628	30	Кто из генсеков СССР хотел посадить кукурузу за полярным кругом?	Брежнев	Хрущев	2
629	30	Кого в средние века называли «комнатной собачкой» дьявола?	Крысу	Кошку	1
630	30	Сколько клапанов в сердце человека?	4	6	1
631	30	"Википедия" - универсальная...?	Энциклопедия	Библиотека	1
632	30	Как называется рабочий кабинет президента Соединенных Штатов Америки?	Белый	Овальный	2
633	30	Какой цвет олимпийского кольца олицетворяет Европу?	Красный	Синий	2
634	30	Как называется чукотское национальное жилище?	Яранга	Юрта	1
635	30	В какой цвет окрашен чёрный ящик самолёта?	Оранжевый	Зеленый	1
636	30	Какой позывной был у Юрия Гагарина во время первого в истории космического полёта?	Кедр	Дуб	1
637	30	Инструмент при бурении скважины, разрушающий породу ?	Долото	Зубило	1
638	30	В какой стране находится единственный храм на земле в котором люди поклоняются крысам?	Индии	Китае	1
639	30	Какой код возвращает сервер, если документ не найден?	404	412	1
640	30	Сколько циферблатов у курантов Спасской башни?	6	4	2
641	30	Как называется сухое печенье из пресного теста?	Галеты	Крекер	1
642	30	Как называется вытяжка из растительного сырья?	Экстракт	Настойка	1
643	30	Прибор для измерения реактивной мощности в электрических цепях переменного тока?	Варметр	Вольтметр	1
644	30	Система мероприятий, при проведении которых на судне поднимается желтый флаг?	Фрахт	Карантин	2
645	30	Заключение врача о состоянии больного при выписке из стационара?	Эпикриз	Анамнез	1
646	30	Изначально, это слово означало ручной ткацкий станок?	Поезд	Самолёт	2
647	30	Мaленький мешочeк для хpaнeния табaка?	Кисет	Калита	1
648	30	Какая из этих команд собаке, означает "Смирно"?	Тубо	Лиго	1
649	30	В честь кого получил своё имя популярный салат «Цезарь»?	Повара	Полководца	1
650	30	В каком отделе позвоночника человека позвонки являются неподвижными?	В поясничном	В крестцовом	2
651	30	Сколько мачт у брига?	2	3	1
652	30	Как называется боковая часть пистолета?	Затвор	Щека	2
653	30	Как называлась античная мера длины, составляющая чуть меньше двух метров?	Пигон	Оргия	2
654	30	Какие животные, согласно "Илиаде", содержались в стойлах царя Авгия, которые очистил Геракл?	Быки	Кони	1
655	30	Как заканчивается признание А. С. Пушкина: "Я пишу для себя, а печатаю... "?	Для души	Для денег	2
656	30	Как называют группу островов?	Атолл	Архипелаг	2
657	30	Какой из этих предметов носят на голове?	Колье	Диадема	2
658	30	Сказочное существо, живущее под мостами - это...	Огр	Тролль	2
659	30	Какая страна является родиной ананаса?	Бразилия	Турция	1
660	30	Как называется хоккей с мячом, он же русский хоккей?	Бенди	Соккер	1
661	30	Птица, не выращивающая своих птенцов?	Кукушка	Дятел	1
662	30	Самый большой остров на планете - это	Мадагаскар	Гренландия	2
663	30	Какая из этих планет наиболее удалена от Солнца?	Нептун	Земля	1
664	30	В каком виде спорта разыгрывают кубок Стэнли?	Хоккей	Теннис	1
665	30	Что из себя представляет эгида имеющаяся у Зевса?	Молния	Щит	2
666	30	Из какого мяса готовят классический бефстроганов?	Говядина	Свинина	1
667	30	Какая горная система самая протяженная на Земле?	Тянь-Шань	Анды	2
668	30	Кого раньше называли инсургентом?	Повстанца	Изменника	1
669	30	Кому в США присуждается Пулитцеровская премия?	Писателям	Журналистам	2
670	30	Что означает слово "гарем" в переводе на русский?	Запрет	Желание	1
671	30	Где зародился танец румба?	В Италии	На Кубе	2
672	30	Что обычно делают с помощью позумента?	Укращают одежду	Чистят одежду	1
673	30	В какой цвет традиционно окрашены венецианские гондолы?	Чёрный	Красный	1
674	30	Сколько белых полосок на воротнике матроса российского флота?	3	4	1
675	30	Что такое демантоид?	Драгоценный камень	Преспешник демона	1
676	30	Какими словами завершается гимн Российской Федерации?	"Мы гордимся тобой!"	"Мы славимся тобой!"	1
677	30	К какому царству живой природы относятся кораллы?	Животные	Растения	1
678	30	Какого элемента больше всего в составе Солнца?	Водород	Гелий	1
679	30	Какие грибы считаются самыми дорогими в мире?	Трюфели	Белые	1
680	30	Какая посуда должна просвечивать в тонких местах?	Фаянс	Фарфор	2
681	30	Какая страна является родиной кофе?	Эфиопия	Бразилия	1
682	30	Кто, будучи студентом, залил свои чертежи тушью и решил стать актёром?	В. Высоцкий	Андрей Миронов	1
683	30	Как называется обрыв, образовавшийся при помощи морских волн?	Впадина	Клиф	2
684	30	К какому виду программ относятся компьютерные шахматы?	Симуляторы	Головоломки	1
685	30	Процесс просачивания жидкостей из клетки во внешнюю среду.	Экзосмос	Эндосмос	1
686	30	Какая единица времени дала название «спортивным часам»?	Минута	Секунда	2
687	30	Какой головной убор украшает бога Вишну?	Диадема	Корона	1
688	30	Твёрдое вещество, разогретое до жидкого состояния.	Плазма	Расплав	2
689	30	Без чего не приготовить популярную начинку для шоколадных конфет пралине?	Орехи	Цукаты	1
690	30	Творог, получаемый подогреванием простокваши в русской печи.	Мол	Кокорки	2
691	30	Что такое антрацит?	Нефть	Уголь	2
692	30	Какой цвет в старину называли червонным?	Красный	Черный	2
693	30	Как называется наружный выступ в нижней части сооружения?	Лякросс	Плинтус	2
694	30	Кто из черепашек-ниндзя носит синюю маску?	Микеланджело	Леонардо	2
695	30	Разновидность какого декоративного животного называют «панда»?	Золотая рыбка	Канарейка	1
696	30	Какой танец появился благодаря сломавшему ногу актёру Энтони Куину?	Сиртаки	Полька	1
697	30	Каким будет график функции y = 1/x?	Парабола	Гипербола	2
698	30	Чем по этикету положено брать хлеб за столом?	Руками	Вилкой	1
699	30	В недрах какой планеты имеется металлический водород?	Юпитер	Сатурн	1
700	30	Из какого фрукта можно сделать кайсу?	Абрикос	Черешня	1
701	30	Как называется военный корабль, на котором находится командующий флотом?	Фрегат	Флагман	2
702	30	Что из этого является простым веществом?	Озон	Вода	1
703	30	Куда заливают выплавленный жидкий металл для временного хранения?	В миксер	В термос	1
704	30	В какую степень нужно возвести 10, чтобы получить дециллион?	33	23	1
705	30	Как называются жаропонижающие вещества?	Антипиретики	Антигистаминные	1
706	30	Как иногда разведчики называют радиста?	Гитарист	Пианист	2
707	30	Какой самый "горячий" орган человека?	Печень	Сердце	1
708	30	Какой цветок был символом главного революционного праздника Советского Союза?	Красный тюльпан	Красная гвоздика	2
709	30	На каком континенте обитают скунсы?	Северная Америка	Южная Америка	1
710	30	Скольких баллов по шкале Бофорта должен достичь ветер, чтобы называться штормом?	6	9	2
711	30	Что такое лоферы?	Туфли без шнурков	Джинсы на молнии	1
712	30	Какой знак препинания самый распространенный в русском языке?	Точка	Запятая	2
713	30	Какой ученый открыл атмосферу Венеры?	Ломоносов	Циолковский	1
714	30	Кем мечтал стать Санчо Панса - верный спутник Дон Кихота?	Губернатором	Священиком	1
715	30	Где у саранчи располагаются уши?	На животе	На ножках	1
716	30	Какие птицы не подбрасывают яйца в чужие гнезда?	Сороки	Белый Гусь	1
717	30	Название какой страны происходит от слова «свобода»?	Америка	Таиланд	2
718	30	Как называется жена православного священника?	Матушка	Попадья	2
719	30	Как называются стрелы для арбалета?	Болты	Гайки	1
720	30	Какое из этих морей по сути является озером?	Чёрное	Мёртвое	2
721	30	Что в переводе с греческого языка означает слово "трапеза"?	Еда	Стол	2
722	30	Чем лечат, когда применяют ампелотерапию?	Орехами	Виноградом	2
723	30	Какая буква чаще других встречается в русском языке?	"О"	"И"	1
724	30	В какой грамматике все существительные пишутся с большой буквы?	Немецкой	Итальянской	1
725	30	Как называется главный бухгалтерский отчет?	Сводный отчет	Баланс	2
726	30	Частью чего является элерон?	Кормы корабля	Крыла самолёта	2
727	30	Какие часы обладают высокой точностью, не зависящей от внешних факторов?	Хронометр	Ходики	1
728	30	Кого или чего боится человек, страдающий скотофобией?	Животных	Темноты	2
729	30	Какая страна выступила инициатором создания ОПЕК?	Саудовская Аравия	Венесуэла	2
730	30	Из скольких линеек, как правило, состоит нотный стан?	5	7	1
731	30	Какая часть мужского гардероба может быть снабжена штрипками?	Брюки	Рубашка	1
732	30	За что в армейской роте отвечал хорунжий?	За знамя	За кухню	1
733	30	Кто стал последним народным артистом СССР?	Иосиф Кобзон	Алла Пугачева	2
734	30	Какая страна не предъявляла территориальных претензий в Антарктике?	США	Россия	1
735	30	Какая рок-группа названа в честь дихлордифенилтрихлорметилметана?	Машина Времени	ДДТ	2
736	30	Где в теле человека расположена плюсна?	Стопа	Кисть	1
737	30	Какое прозвище в народе получила простейшая магнитола?	«Балалайка»	«Гитара»	1
738	30	Из какого металла делают нить накаливания в электрической лампочке?	Аллюминий	Вольфрам	2
739	30	Какую спортивную игру начинают не с подачи?	Баскетбол	Волейбол	1
740	30	Что произносит игрок в преферанс, отказываясь от участия в розыгрыше?	Флоп	Пас	2
741	30	На каком языке традиционно отдают команды животным в цирке?	Французкий	Английский	1
742	30	Что такое «рыбацкий штык»?	Морской узел	Рыбацкий нож	1
743	30	Состояние между явью и сном?	Дремота	Сонливость	1
744	30	Кто из этих художников написал знаменитые "Ирисы"?	Ван Гог	Пикассо	1
745	30	Каких клеток больше всего в составе человеческой крови?	Лейкоцитов	Эритроцитов	2
746	30	Под каким знаком зодиака мы встречаем Новый год?	Водолей	Козерог	2
747	30	Что такое сезам?	Кунжут	Орех	1
748	30	Каким словом называют захоронение в море отходов?	Дампинг	Крампинг	1
749	30	Сколько символов используется в системе римских чисел?	9	7	2
750	30	В какиx лучаx светятся отдельные защитные знаки денежныx купюр?	Ультрофиолетовых	Рентгеновских	1
751	30	При помощи какого из этих приборов обычно измеряют влажность воздуха?	Психрометр	Барометр	1
752	30	Как в России сначала называли пароход?	Пироскаф	Водник	1
753	30	Сколько суток курица высиживает цыплят?...	Двадцать четыре	Двадцать один	2
